"","zero_rule_acc","mouse","BILSTM","LSTM"
"1",0.746494066882416,"409",0.779935275080906,0.800970873786408
"2",0.758620689655172,"412",0.755926724137931,0.739762931034483
"3",0.570498915401301,"414",0.605748373101952,0.582971800433839
"4",0.594799566630553,"416",0.648429035752979,0.608884073672806
"5",0.958918918918919,"417",0.912432432432432,0.851891891891892
"6",0.850649350649351,"418",0.806818181818182,0.762987012987013
"7",0.592331768388106,"251",0.593114241001565,0.590766823161189
"8",0.677777777777778,"256",0.68968253968254,0.619047619047619
"9",0.897891963109354,"257",0.876152832674572,0.841238471673254
"10",0.448336252189142,"258",0.433450087565674,0.430823117338003
"11",0.914442700156986,"274",0.749607535321821,0.840659340659341
"12",0.636500754147813,"254",0.606334841628959,0.614630467571644
"13",0.688976377952756,"255",0.724409448818898,0.718110236220472
